turn,episode_id,similarity_score,decay_score,retrieval_type
2,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.6352484822273254,1.0,KN
5,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.6725184321403503,1.0,KN
6,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5580112338066101,0.9994581935523736,KN
7,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5902004837989807,0.9994378415980554,KN
8,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5336530804634094,0.9994188189511698,KN
9,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5561718940734863,0.9993988537608465,KN
10,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5031659603118896,0.9993799765162711,KN
11,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5924075841903687,0.9993550014343963,KN
11,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5551760196685791,0.9993550013511167,KN
13,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.6121443510055542,0.9993362494077258,KN
14,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5141087770462036,0.9993408310418198,KN
15,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5565454959869385,0.9993416973874175,KN
17,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5712846517562866,0.9993414531594402,KN
17,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5011435747146606,0.9993414530761618,KN
18,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5756875872612,0.999341637343639,KN
19,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5023658275604248,0.9993393894104325,KN
19,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5774206519126892,0.9993393893271542,KN
20,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.6662973761558533,0.9993401624830275,KN
20,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5290549397468567,0.9993401623997492,KN
20,54ea1a4d-9bd7-4d3e-a5b7-2f3901420d48,0.5460026860237122,0.9986799869568778,K
21,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5352905988693237,0.9993141280677584,KN
22,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.6476926207542419,0.99934054589661,KN
22,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5422202944755554,0.9993405458133316,KN
22,54ea1a4d-9bd7-4d3e-a5b7-2f3901420d48,0.5310500860214233,0.9986551253222543,K
23,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5746093988418579,0.9993135974320974,KN
23,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5251455903053284,0.9993135973488212,KN
25,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5995829701423645,0.999342534253161,KN
25,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5166364908218384,0.9993425341698824,KN
26,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5227096080780029,0.9993402867898477,KN
29,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5668266415596008,0.9993403044171001,KN
29,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5363765358924866,0.9993403043338217,KN
30,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5148439407348633,0.9993424285171745,KN
39,2648e4b4-a178-47bb-9ece-a7f03c465d8b,0.5916544795036316,0.9960468955039242,K
40,2648e4b4-a178-47bb-9ece-a7f03c465d8b,0.5293904542922974,0.999314978401167,K
41,2648e4b4-a178-47bb-9ece-a7f03c465d8b,0.5226746797561646,0.9993132772076581,K
41,2ace4eed-35b3-4282-82ae-7a6894bacce7,0.6145219802856445,0.9986287253907574,K
41,1215327c-89af-467e-a7de-42035e71f00c,0.5229324698448181,1.0,KN
43,4e55baf2-81ee-4989-9710-852e59c9dd82,0.5015473961830139,0.9966158328567737,K
