turn,event_type,topic_label,centroid_drift
1,new_node,topic_1,0.0
2,centroid_update,topic_1,41.135719299316406
3,new_node,topic_2,0.0
4,new_node,topic_3,0.0
5,new_node,topic_4,0.0
6,new_node,topic_5,0.0
7,new_node,topic_6,0.0
8,centroid_update,topic_1,31.045103073120117
9,centroid_update,topic_1,21.896228790283203
10,new_node,topic_7,0.0
11,centroid_update,topic_7,58.126373291015625
12,centroid_update,topic_7,33.502899169921875
13,centroid_update,topic_7,18.886878967285156
14,centroid_update,topic_1,13.9791259765625
15,new_node,topic_8,0.0
16,new_node,topic_9,0.0
17,centroid_update,topic_3,52.62339401245117
18,centroid_update,topic_1,10.666851997375488
19,new_node,topic_10,0.0
20,centroid_update,topic_4,11.905694961547852
21,centroid_update,topic_3,33.85032653808594
22,centroid_update,topic_1,11.321392059326172
23,centroid_update,topic_1,8.645401000976562
24,centroid_update,topic_1,6.437381267547607
25,centroid_update,topic_1,5.9996209144592285
26,new_node,topic_11,0.0
27,centroid_update,topic_1,8.303071975708008
28,centroid_update,topic_1,5.927765846252441
29,centroid_update,topic_3,24.4660701751709
30,centroid_update,topic_3,19.58427619934082
31,centroid_update,topic_1,7.478825092315674
32,new_node,topic_12,0.0
33,new_node,topic_13,0.0
34,new_node,topic_14,0.0
35,new_node,topic_15,0.0
36,new_node,topic_16,0.0
37,new_node,topic_17,0.0
38,new_node,topic_18,0.0
39,new_node,topic_19,0.0
40,centroid_update,topic_12,51.684329986572266
41,centroid_update,topic_18,55.86377716064453
42,centroid_update,topic_13,58.863712310791016
43,new_node,topic_20,0.0
44,new_node,topic_21,0.0
45,new_node,topic_22,0.0
46,centroid_update,topic_13,35.718536376953125
47,new_node,topic_23,0.0
48,new_node,topic_24,0.0
49,new_node,topic_25,0.0
50,centroid_update,topic_24,61.414825439453125
51,centroid_update,topic_1,5.022782802581787
52,new_node,topic_25,0.0
53,centroid_update,topic_1,5.1994500160217285
54,centroid_update,topic_13,28.11142349243164
55,centroid_update,topic_12,20.870914459228516
56,centroid_update,topic_12,16.330116271972656
57,centroid_update,topic_1,5.08283805847168
58,new_node,topic_26,0.0
59,centroid_update,topic_13,16.39117431640625
60,centroid_update,topic_12,12.085684776306152
61,new_node,topic_26,0.0
62,new_node,topic_27,0.0
63,new_node,topic_28,0.0
64,centroid_update,topic_1,3.2005808353424072
65,new_node,topic_29,0.0
66,centroid_update,topic_1,3.432130813598633
67,new_node,topic_30,0.0
68,centroid_update,topic_28,46.27041244506836
69,centroid_update,topic_29,63.01177215576172
70,new_node,topic_31,0.0
71,new_node,topic_32,0.0
72,new_node,topic_33,0.0
73,new_node,topic_34,0.0
74,centroid_update,topic_29,32.720802307128906
75,new_node,topic_35,0.0
76,new_node,topic_36,0.0
77,new_node,topic_37,0.0
78,centroid_update,topic_29,25.44557762145996
79,centroid_update,topic_29,21.660133361816406
80,centroid_update,topic_29,16.201236724853516
81,centroid_update,topic_28,33.43021011352539
82,centroid_update,topic_32,57.041587829589844
83,centroid_update,topic_29,11.87402057647705
84,centroid_update,topic_29,12.185999870300293
85,new_node,topic_37,0.0
86,new_node,topic_38,0.0
87,new_node,topic_39,0.0
88,new_node,topic_40,0.0
89,centroid_update,topic_29,8.47115421295166
90,centroid_update,topic_29,7.178834438323975
91,new_node,topic_40,0.0
92,centroid_update,topic_7,17.93654441833496
93,new_node,topic_41,0.0
94,new_node,topic_42,0.0
95,centroid_update,topic_1,3.3976821899414062
96,centroid_update,topic_7,14.893319129943848
97,new_node,topic_43,0.0
98,new_node,topic_44,0.0
99,new_node,topic_45,0.0
100,new_node,topic_46,0.0
101,new_node,topic_46,0.0
102,new_node,topic_47,0.0
103,centroid_update,topic_1,3.1454663276672363
104,centroid_update,topic_1,2.9666831493377686
105,centroid_update,topic_1,2.6415441036224365
106,centroid_update,topic_1,2.5365147590637207
107,new_node,topic_48,0.0
108,centroid_update,topic_1,2.396742105484009
109,centroid_update,topic_1,2.44500994682312
110,centroid_update,topic_1,2.1059911251068115
111,centroid_update,topic_1,2.1502318382263184
112,centroid_update,topic_3,14.695452690124512
113,new_node,topic_49,0.0
114,centroid_update,topic_1,1.7604503631591797
115,centroid_update,topic_12,11.228487968444824
116,new_node,topic_50,0.0
117,new_node,topic_51,0.0
118,centroid_update,topic_1,2.465169906616211
119,new_node,topic_52,0.0
120,new_node,topic_53,0.0
