turn,k_count,episode_id,similarity_score,topic_label,k_only
2,1,069b1fe5-a4ba-4e49-a2b1-8e42b3308a80,0.6352484822273254,ce38e723-859f-41d4-a5a4-2d157af73574,False
5,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.6725184321403503,353f67e4-6ffa-4386-854f-de3da3af850a,False
6,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5580112338066101,353f67e4-6ffa-4386-854f-de3da3af850a,False
7,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5902004837989807,353f67e4-6ffa-4386-854f-de3da3af850a,False
8,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5336530804634094,353f67e4-6ffa-4386-854f-de3da3af850a,False
9,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5561718940734863,353f67e4-6ffa-4386-854f-de3da3af850a,False
10,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5031659603118896,353f67e4-6ffa-4386-854f-de3da3af850a,False
11,2,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5924075841903687,353f67e4-6ffa-4386-854f-de3da3af850a,False
11,2,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5551760196685791,ce38e723-859f-41d4-a5a4-2d157af73574,False
13,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.6121443510055542,353f67e4-6ffa-4386-854f-de3da3af850a,False
14,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5141087770462036,353f67e4-6ffa-4386-854f-de3da3af850a,False
15,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5565454959869385,353f67e4-6ffa-4386-854f-de3da3af850a,False
17,2,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5712846517562866,353f67e4-6ffa-4386-854f-de3da3af850a,False
17,2,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5011435747146606,ce38e723-859f-41d4-a5a4-2d157af73574,False
18,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5756875872612,353f67e4-6ffa-4386-854f-de3da3af850a,False
19,2,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5023658275604248,353f67e4-6ffa-4386-854f-de3da3af850a,False
19,2,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5774206519126892,ce38e723-859f-41d4-a5a4-2d157af73574,False
20,3,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.6662973761558533,353f67e4-6ffa-4386-854f-de3da3af850a,False
20,3,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5290549397468567,ce38e723-859f-41d4-a5a4-2d157af73574,False
20,3,54ea1a4d-9bd7-4d3e-a5b7-2f3901420d48,0.5460026860237122,353f67e4-6ffa-4386-854f-de3da3af850a,True
21,1,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5352905988693237,353f67e4-6ffa-4386-854f-de3da3af850a,False
22,3,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.6476926207542419,353f67e4-6ffa-4386-854f-de3da3af850a,False
22,3,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5422202944755554,ce38e723-859f-41d4-a5a4-2d157af73574,False
22,3,54ea1a4d-9bd7-4d3e-a5b7-2f3901420d48,0.5310500860214233,353f67e4-6ffa-4386-854f-de3da3af850a,True
23,2,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5746093988418579,353f67e4-6ffa-4386-854f-de3da3af850a,False
23,2,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5251455903053284,ce38e723-859f-41d4-a5a4-2d157af73574,False
25,2,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5995829701423645,353f67e4-6ffa-4386-854f-de3da3af850a,False
25,2,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5166364908218384,ce38e723-859f-41d4-a5a4-2d157af73574,False
26,1,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5227096080780029,ce38e723-859f-41d4-a5a4-2d157af73574,False
29,2,66c98bcc-2e06-4b06-b287-1d2a4a4653bf,0.5668266415596008,353f67e4-6ffa-4386-854f-de3da3af850a,False
29,2,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5363765358924866,ce38e723-859f-41d4-a5a4-2d157af73574,False
30,1,33b36e44-8f5e-43a2-ad5c-c479a313ffab,0.5148439407348633,ce38e723-859f-41d4-a5a4-2d157af73574,False
39,1,2648e4b4-a178-47bb-9ece-a7f03c465d8b,0.5916544795036316,d3842fd5-d769-45ff-8c38-23e321158efd,True
40,1,2648e4b4-a178-47bb-9ece-a7f03c465d8b,0.5293904542922974,d3842fd5-d769-45ff-8c38-23e321158efd,True
41,3,2648e4b4-a178-47bb-9ece-a7f03c465d8b,0.5226746797561646,d3842fd5-d769-45ff-8c38-23e321158efd,True
41,3,2ace4eed-35b3-4282-82ae-7a6894bacce7,0.6145219802856445,91d353cf-b506-46ec-b2c7-eeb3ab564ad9,True
41,3,1215327c-89af-467e-a7de-42035e71f00c,0.5229324698448181,d3842fd5-d769-45ff-8c38-23e321158efd,False
43,3,4e55baf2-81ee-4989-9710-852e59c9dd82,0.5015473961830139,b81d934f-ab9c-42b4-ac22-ed17aed4494c,True
43,3,2ace4eed-35b3-4282-82ae-7a6894bacce7,0.5022760629653931,91d353cf-b506-46ec-b2c7-eeb3ab564ad9,True
43,3,1215327c-89af-467e-a7de-42035e71f00c,0.5069074630737305,d3842fd5-d769-45ff-8c38-23e321158efd,True
44,1,2ace4eed-35b3-4282-82ae-7a6894bacce7,0.5826646089553833,91d353cf-b506-46ec-b2c7-eeb3ab564ad9,True
45,2,2648e4b4-a178-47bb-9ece-a7f03c465d8b,0.6418346762657166,d3842fd5-d769-45ff-8c38-23e321158efd,True
