turn,tokens_per_second,time_to_first_token,output_tokens,estimated_tokens
1,52.67910936671133,0.01898285700008273,100,7
2,0.0,0.20016510001732968,0,443
3,57.331431482607066,0.017442439062477888,1024,501
4,54.95848197974752,0.01819555351562485,1024,1626
5,53.174325759228545,0.01880606826173903,1024,2699
6,51.1516823766059,0.01954969912108595,1024,3758
7,49.437535543464115,0.020227545507822242,1024,4952
8,47.8054760817967,0.020918105664065934,1024,6104
9,46.377966002283934,0.02156196328124338,1024,7252
10,44.518199546430914,0.02246272333985644,1024,8343
11,43.626848149807635,0.02292166503906401,1024,9492
12,43.24452669989482,0.023124313671871732,1024,9500
13,43.547021972257795,0.022963682812502384,1024,9501
14,43.606384432893904,0.022932421777341006,1024,9460
15,43.556987646573134,0.0229584288085789,1024,9514
16,43.59252911919,0.022939710546864944,1024,9485
17,43.6015275641744,0.02293497626953922,1024,9426
18,43.49526653631343,0.0229910075195221,1024,9292
19,43.562605894823534,0.0229554678710997,1024,9530
20,41.84692088207741,0.02389662080079802,1024,10484
21,43.52839559367274,0.022973509277363746,1024,9437
22,41.84705153584485,0.02389654619139492,1024,10373
23,43.581493978305595,0.02294551904296327,1024,9463
24,43.642223844777035,0.02291358945311117,1024,9440
25,43.51831187029222,0.02297883251952726,1024,9470
26,43.55346104619948,0.022960287792955114,1024,9488
27,43.52014142963058,0.02297786650387934,1024,9520
28,43.51184676105462,0.02298224677733174,1024,9508
29,43.655400925736316,0.022906673144547085,1024,9487
30,43.60535292157165,0.02293296425781932,1024,9482
31,43.51960578854046,0.022978149316401186,1024,9493
32,43.43579588731714,0.02302248593750278,1024,9529
33,43.47424681144385,0.02300212363280707,1024,9518
34,43.61267687291067,0.022929113085950803,1024,9473
35,43.43955867954639,0.023020491699213608,1024,9532
36,43.52068078314217,0.022977581738274466,1024,9496
37,43.58940070088013,0.02294135693358612,1024,9524
38,43.45743407142509,0.02301102265624877,1024,9442
39,41.87765397586386,0.023879083593755013,1024,10668
40,41.786841753626206,0.023930978222665544,1024,10690
41,41.134708816100755,0.024310370214863042,1024,11756
42,43.60751330200269,0.022931828124995945,1024,9393
43,40.02611970106879,0.024983685839856662,1024,12881
44,41.8865646544909,0.023874003710943725,1024,10623
45,41.146438462732384,0.024303440039062707,1024,11746
